date,icon_seamless_temperature_2m,icon_seamless_relative_humidity_2m,icon_seamless_soil_temperature_54cm,icon_seamless_shortwave_radiation,icon_seamless_direct_radiation,icon_seamless_diffuse_radiation,icon_seamless_direct_normal_irradiance,icon_seamless_global_tilted_irradiance,icon_seamless_terrestrial_radiation,icon_global_temperature_2m,icon_global_relative_humidity_2m,icon_global_soil_temperature_54cm,icon_global_shortwave_radiation,icon_global_direct_radiation,icon_global_diffuse_radiation,icon_global_direct_normal_irradiance,icon_global_global_tilted_irradiance,icon_global_terrestrial_radiation,icon_eu_temperature_2m,icon_eu_relative_humidity_2m,icon_eu_soil_temperature_54cm,icon_eu_shortwave_radiation,icon_eu_direct_radiation,icon_eu_diffuse_radiation,icon_eu_direct_normal_irradiance,icon_eu_global_tilted_irradiance,icon_eu_terrestrial_radiation,icon_d2_temperature_2m,icon_d2_relative_humidity_2m,icon_d2_soil_temperature_54cm,icon_d2_shortwave_radiation,icon_d2_direct_radiation,icon_d2_diffuse_radiation,icon_d2_direct_normal_irradiance,icon_d2_global_tilted_irradiance,icon_d2_terrestrial_radiation
2024-11-28 23:00:00+00:00,2.1955001,97.0,8.9955,0.0,0.0,0.0,0.0,0.0,0.0,3.2020001,92.0,8.452,0.0,0.0,0.0,0.0,0.0,0.0,3.0295,93.0,8.5295,0.0,0.0,0.0,0.0,0.0,0.0,2.1955001,97.0,8.9955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29 00:00:00+00:00,1.6455001,99.0,8.9955,0.0,0.0,0.0,0.0,0.0,0.0,2.102,97.0,8.402,0.0,0.0,0.0,0.0,0.0,0.0,2.1295,97.0,8.4795,0.0,0.0,0.0,0.0,0.0,0.0,1.6455001,99.0,8.9955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29 01:00:00+00:00,1.1455001,100.0,8.945499,0.0,0.0,0.0,0.0,0.0,0.0,1.802,98.0,8.402,0.0,0.0,0.0,0.0,0.0,0.0,2.1295,95.0,8.4795,0.0,0.0,0.0,0.0,0.0,0.0,1.1455001,100.0,8.945499,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29 02:00:00+00:00,0.94549996,100.0,8.945499,0.0,0.0,0.0,0.0,0.0,0.0,1.352,99.0,8.402,0.0,0.0,0.0,0.0,0.0,0.0,1.9795,94.0,8.4795,0.0,0.0,0.0,0.0,0.0,0.0,0.94549996,100.0,8.945499,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29 03:00:00+00:00,0.3955,100.0,8.945499,0.0,0.0,0.0,0.0,0.0,0.0,0.902,99.0,8.402,0.0,0.0,0.0,0.0,0.0,0.0,1.4795,95.0,8.4795,0.0,0.0,0.0,0.0,0.0,0.0,0.3955,100.0,8.945499,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29 04:00:00+00:00,0.5455,100.0,8.945499,0.0,0.0,0.0,0.0,0.0,0.0,0.802,100.0,8.402,0.0,0.0,0.0,0.0,0.0,0.0,0.9795,98.0,8.4795,0.0,0.0,0.0,0.0,0.0,0.0,0.5455,100.0,8.945499,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29 05:00:00+00:00,0.4955,99.0,8.8955,0.0,0.0,0.0,0.0,0.0,0.0,0.652,100.0,8.402,0.0,0.0,0.0,0.0,0.0,0.0,0.7295,100.0,8.4795,0.0,0.0,0.0,0.0,0.0,0.0,0.4955,99.0,8.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29 06:00:00+00:00,0.7955,97.0,8.8955,0.0,0.0,0.0,0.0,0.0,0.0,0.302,100.0,8.352,0.0,0.0,0.0,0.0,0.0,0.0,0.5295,99.0,8.4295,0.0,0.0,0.0,0.0,0.0,0.0,0.7955,97.0,8.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29 07:00:00+00:00,0.69549996,96.0,8.8455,0.0,0.0,0.0,0.0,0.0,0.0,0.302,100.0,8.352,0.0,0.0,0.0,0.0,0.0,0.0,0.22950001,99.0,8.4295,0.0,0.0,0.0,0.0,0.0,0.0,0.69549996,96.0,8.8455,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29 08:00:00+00:00,0.74549997,95.0,8.8455,13.5,2.5,11.0,31.672897,13.5,51.195133,0.15200001,100.0,8.352,14.0,2.0,12.0,25.22248,14.000002,51.722046,0.079500005,99.0,8.4295,14.0,2.0,12.0,25.302853,14.0,51.353436,0.74549997,95.0,8.8455,13.5,2.5,11.0,31.672897,13.5,51.195133
