date,temperature_2m,relative_humidity_2m,soil_temperature_54cm,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation
2024-10-27 23:00:00+00:00,13.5955,95.0,13.5955,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 00:00:00+00:00,13.7455,95.0,13.5955,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 01:00:00+00:00,13.5955,95.0,13.5955,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 02:00:00+00:00,13.5455,94.0,13.5955,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 03:00:00+00:00,13.8955,92.0,13.5955,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 04:00:00+00:00,13.8455,92.0,13.5955,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 05:00:00+00:00,13.5955,92.0,13.5955,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 06:00:00+00:00,13.5455,92.0,13.5955,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 07:00:00+00:00,13.4955,91.0,13.5955,5.75,0.0,5.75,0.0,5.75,48.192154
2024-10-28 08:00:00+00:00,13.7455,89.0,13.6455,43.25,3.0,40.25,19.685564,43.25,211.24458
2024-10-28 09:00:00+00:00,14.195499,85.0,13.6455,82.0,13.75,68.25,50.064087,82.0,380.71347
2024-10-28 10:00:00+00:00,14.7455,81.0,13.6455,160.75,44.0,116.75,120.22049,160.75,507.34763
2024-10-28 11:00:00+00:00,15.195499,75.0,13.6455,215.25,57.5,157.75,136.83984,215.25,582.50055
2024-10-28 12:00:00+00:00,15.8955,72.0,13.6455,252.75,98.0,154.75,226.03456,252.74998,601.0379
2024-10-28 13:00:00+00:00,16.095499,70.0,13.6455,253.25,83.75,169.5,206.70688,253.25,561.6815
2024-10-28 14:00:00+00:00,15.8955,71.0,13.6455,190.75,35.0,155.75,103.87889,190.75,467.10074
2024-10-28 15:00:00+00:00,15.8955,72.0,13.6455,101.25,3.5,97.75,14.988824,101.25,323.72772
2024-10-28 16:00:00+00:00,15.0955,78.0,13.6455,36.5,0.0,36.5,0.0,36.5,141.3192
2024-10-28 17:00:00+00:00,14.5455,83.0,13.695499,0.75,0.0,0.75,0.0,0.75,10.017353
2024-10-28 18:00:00+00:00,13.9955,87.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 19:00:00+00:00,13.2455,89.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 20:00:00+00:00,12.7955,90.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 21:00:00+00:00,12.3955,90.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 22:00:00+00:00,12.1455,89.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 23:00:00+00:00,11.8955,91.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 00:00:00+00:00,11.9955,90.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 01:00:00+00:00,12.0455,90.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 02:00:00+00:00,12.0455,89.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 03:00:00+00:00,12.0955,89.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 04:00:00+00:00,12.195499,89.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 05:00:00+00:00,12.195499,88.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 06:00:00+00:00,12.0455,87.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 07:00:00+00:00,11.9955,86.0,13.695499,3.5,0.0,3.5,0.0,3.5,44.97703
2024-10-29 08:00:00+00:00,12.195499,83.0,13.695499,31.75,2.0,29.75,13.541645,31.75,204.83328
2024-10-29 09:00:00+00:00,12.6455,79.0,13.695499,64.5,5.25,59.25,19.463036,64.5,374.11078
2024-10-29 10:00:00+00:00,13.445499,76.0,13.695499,136.75,26.75,110.0,74.116,136.75,500.57922
2024-10-29 11:00:00+00:00,14.0455,72.0,13.695499,173.25,38.5,134.75,92.76986,173.25,575.60474
2024-10-29 12:00:00+00:00,14.3955,72.0,13.695499,130.5,17.5,113.0,40.858967,130.5,594.06055
2024-10-29 13:00:00+00:00,14.7455,72.0,13.695499,120.5,13.25,107.25,33.133434,120.5,554.6756
2024-10-29 14:00:00+00:00,15.195499,69.0,13.695499,93.25,12.5,80.75,37.68232,93.25,460.1204
2024-10-29 15:00:00+00:00,14.945499,74.0,13.695499,52.5,2.5,50.0,10.945298,52.5,316.82617
2024-10-29 16:00:00+00:00,14.6455,79.0,13.695499,20.25,0.0,20.25,0.0,20.25,134.54474
2024-10-29 17:00:00+00:00,14.0955,81.0,13.695499,0.25,0.0,0.25,0.0,0.25,6.6413326
2024-10-29 18:00:00+00:00,13.5955,81.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 19:00:00+00:00,13.2455,82.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 20:00:00+00:00,13.0455,81.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 21:00:00+00:00,12.945499,81.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 22:00:00+00:00,12.8455,82.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 23:00:00+00:00,12.7455,84.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 00:00:00+00:00,12.5455,86.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 01:00:00+00:00,12.3955,88.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 02:00:00+00:00,12.2955,90.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 03:00:00+00:00,12.0955,92.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 04:00:00+00:00,11.8455,93.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 05:00:00+00:00,11.7455,94.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 06:00:00+00:00,11.695499,94.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 07:00:00+00:00,11.695499,94.0,13.695499,3.75,0.0,3.75,0.0,3.75,41.77307
2024-10-30 08:00:00+00:00,12.0955,93.0,13.695499,37.0,3.5,33.5,24.47384,37.0,198.44302
2024-10-30 09:00:00+00:00,12.5455,91.0,13.695499,74.25,12.0,62.25,45.30685,74.25,367.53336
2024-10-30 10:00:00+00:00,12.945499,90.0,13.695499,131.0,24.0,107.0,67.43892,131.0,493.84366
2024-10-30 11:00:00+00:00,13.2455,88.0,13.695499,117.25,7.5,109.75,18.299427,117.25,568.75085
