date,icon_seamless_temperature_2m,icon_seamless_relative_humidity_2m,icon_seamless_soil_temperature_54cm,icon_seamless_shortwave_radiation,icon_seamless_direct_radiation,icon_seamless_diffuse_radiation,icon_seamless_direct_normal_irradiance,icon_seamless_global_tilted_irradiance,icon_seamless_terrestrial_radiation,icon_global_temperature_2m,icon_global_relative_humidity_2m,icon_global_soil_temperature_54cm,icon_global_shortwave_radiation,icon_global_direct_radiation,icon_global_diffuse_radiation,icon_global_direct_normal_irradiance,icon_global_global_tilted_irradiance,icon_global_terrestrial_radiation,icon_eu_temperature_2m,icon_eu_relative_humidity_2m,icon_eu_soil_temperature_54cm,icon_eu_shortwave_radiation,icon_eu_direct_radiation,icon_eu_diffuse_radiation,icon_eu_direct_normal_irradiance,icon_eu_global_tilted_irradiance,icon_eu_terrestrial_radiation,icon_d2_temperature_2m,icon_d2_relative_humidity_2m,icon_d2_soil_temperature_54cm,icon_d2_shortwave_radiation,icon_d2_direct_radiation,icon_d2_diffuse_radiation,icon_d2_direct_normal_irradiance,icon_d2_global_tilted_irradiance,icon_d2_terrestrial_radiation
2024-11-09 23:00:00+00:00,7.4455,95.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0,8.152,96.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,8.5295,94.0,9.9795,0.0,0.0,0.0,0.0,0.0,0.0,7.4455,95.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10 00:00:00+00:00,7.6955,94.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0,7.802,96.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,8.179501,94.0,9.9795,0.0,0.0,0.0,0.0,0.0,0.0,7.6955,94.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10 01:00:00+00:00,8.1455,94.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0,8.002,96.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,8.4295,95.0,9.9795,0.0,0.0,0.0,0.0,0.0,0.0,8.1455,94.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10 02:00:00+00:00,8.695499,91.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0,8.052,96.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,8.4295,94.0,9.9795,0.0,0.0,0.0,0.0,0.0,0.0,8.695499,91.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10 03:00:00+00:00,8.8455,90.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0,8.102,96.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,8.3795,95.0,9.9795,0.0,0.0,0.0,0.0,0.0,0.0,8.8455,90.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10 04:00:00+00:00,8.7455,92.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0,7.952,97.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,8.2795,94.0,9.9795,0.0,0.0,0.0,0.0,0.0,0.0,8.7455,92.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10 05:00:00+00:00,8.695499,93.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0,7.852,97.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,8.129499,94.0,9.9795,0.0,0.0,0.0,0.0,0.0,0.0,8.695499,93.0,10.0955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10 06:00:00+00:00,8.695499,93.0,10.0455,0.0,0.0,0.0,0.0,0.0,0.0,7.752,97.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,7.8795,96.0,9.9795,0.0,0.0,0.0,0.0,0.0,0.0,8.695499,93.0,10.0455,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10 07:00:00+00:00,8.7955,92.0,10.0455,0.25,0.0,0.25,0.0,0.25,8.037607,7.802,96.0,9.502,1.0,0.0,1.0,0.0,1.0,8.525898,7.9295,95.0,9.9795,1.0,0.0,1.0,0.0,1.0,8.104398,8.7955,92.0,10.0455,0.25,0.0,0.25,0.0,0.25,8.037607
2024-11-10 08:00:00+00:00,8.8455,93.0,10.0455,9.75,0.0,9.75,0.0,9.75,131.04819,8.252,95.0,9.502,21.0,3.0,18.0,25.683928,21.0,132.03181,8.4795,94.0,9.9795,26.0,2.0,24.0,17.161337,26.0,131.25975,8.8455,93.0,10.0455,9.75,0.0,9.75,0.0,9.75,131.04819
2024-11-10 09:00:00+00:00,8.945499,93.0,10.0455,20.75,0.0,20.75,0.0,20.75,298.5289,9.302,92.0,9.502,65.0,17.0,48.0,79.19378,65.0,299.50916,9.5795,91.0,9.9795,69.0,8.0,61.0,37.344757,69.0,298.89084,8.945499,93.0,10.0455,20.75,0.0,20.75,0.0,20.75,298.5289
2024-11-10 10:00:00+00:00,9.3455,92.0,10.0455,42.75,1.5,41.25,4.9391227,42.75,423.74255,10.202,87.0,9.502,95.0,9.0,86.0,29.570597,95.0,424.6617,10.1295,87.0,9.9795,80.0,4.0,76.0,13.155551,80.0,424.24002,9.3455,92.0,10.0455,42.75,1.5,41.25,4.9391227,42.75,423.74255
2024-11-10 11:00:00+00:00,9.7955,90.0,10.0455,72.0,5.25,66.75,14.705191,72.0,498.1473,10.602,86.0,9.502,99.0,11.0,88.0,30.761139,99.0,498.95273,10.4795,87.0,9.9795,76.0,4.0,72.0,11.190285,76.0,498.75586,9.7955,90.0,10.0455,72.0,5.25,66.75,14.705191,72.0,498.1473
2024-11-10 12:00:00+00:00,10.695499,87.0,10.0455,124.5,15.75,108.75,42.53536,124.5,516.6638,10.952,86.0,9.502,91.0,9.0,82.0,24.275581,91.0,517.3095,10.7795,86.0,9.9795,76.0,3.0,73.0,8.091209,76.0,517.35114,10.695499,87.0,10.0455,124.5,15.75,108.75,42.53536,124.5,516.6638
2024-11-10 13:00:00+00:00,11.3955,85.0,10.0455,99.5,11.5,88.0,33.568893,99.5,478.02084,11.202,87.0,9.502,93.0,15.0,78.0,43.744198,93.0,478.47235,11.1795,86.0,9.9795,91.0,9.0,82.0,26.231327,91.0,478.74942,11.3955,85.0,10.0455,99.5,11.5,88.0,33.568893,99.5,478.02084
2024-11-10 14:00:00+00:00,11.0955,86.0,10.0455,57.75,2.0,55.75,7.2517433,57.75,384.84164,11.402,86.0,9.552,90.0,17.0,73.0,61.602047,90.0,385.0776,11.3295,86.0,9.9795,88.0,19.0,69.0,68.76117,88.00001,385.57144,11.0955,86.0,10.0455,57.75,2.0,55.75,7.2517433,57.75,384.84164
2024-11-10 15:00:00+00:00,10.8955,88.0,10.0455,28.0,0.75,27.25,4.298602,28.0,243.46523,11.102,89.0,9.552,45.0,7.0,38.0,40.118034,45.0,243.47888,11.0795,88.0,9.9795,46.0,7.0,39.0,40.006844,46.0,244.1556,10.8955,88.0,10.0455,28.0,0.75,27.25,4.298602,28.0,243.46523
