date,temperature_2m,relative_humidity_2m,soil_temperature_54cm,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation
2024-10-28 23:00:00+00:00,11.8455,92.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 00:00:00+00:00,12.2455,92.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 01:00:00+00:00,12.2455,91.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 02:00:00+00:00,12.195499,91.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 03:00:00+00:00,12.2455,91.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 04:00:00+00:00,12.2455,90.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 05:00:00+00:00,12.2455,90.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 06:00:00+00:00,11.9955,89.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 07:00:00+00:00,11.8955,89.0,13.7455,6.25,0.0,6.25,0.0,6.25,44.97703
2024-10-29 08:00:00+00:00,12.3955,84.0,13.7455,40.25,2.5,37.75,16.927055,40.25,204.83328
2024-10-29 09:00:00+00:00,13.195499,79.0,13.695499,100.0,10.5,89.5,38.92607,100.0,374.11078
2024-10-29 10:00:00+00:00,13.695499,77.0,13.695499,169.5,47.25,122.25,130.91518,169.5,500.57922
2024-10-29 11:00:00+00:00,14.3455,74.0,13.695499,163.0,27.0,136.0,65.05938,163.0,575.60474
2024-10-29 12:00:00+00:00,15.7455,67.0,13.695499,169.0,22.75,146.25,53.116657,169.0,594.06055
2024-10-29 13:00:00+00:00,16.095499,65.0,13.695499,251.0,111.0,140.0,277.57065,251.0,554.6756
2024-10-29 14:00:00+00:00,15.8955,68.0,13.695499,180.0,69.75,110.25,210.26733,180.0,460.1204
2024-10-29 15:00:00+00:00,15.5955,74.0,13.695499,52.5,7.25,45.25,31.741365,52.5,316.82617
2024-10-29 16:00:00+00:00,15.0955,75.0,13.695499,17.0,0.0,17.0,0.0,17.0,134.54474
2024-10-29 17:00:00+00:00,14.3955,80.0,13.695499,0.25,0.0,0.25,0.0,0.25,6.6413326
2024-10-29 18:00:00+00:00,13.8455,81.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 19:00:00+00:00,13.3955,83.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 20:00:00+00:00,13.1455,85.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 21:00:00+00:00,12.945499,85.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 22:00:00+00:00,12.695499,84.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 23:00:00+00:00,12.4955,86.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 00:00:00+00:00,12.445499,85.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 01:00:00+00:00,12.3955,86.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 02:00:00+00:00,12.3455,87.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 03:00:00+00:00,12.3455,88.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 04:00:00+00:00,12.3455,88.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 05:00:00+00:00,12.1455,89.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 06:00:00+00:00,12.1455,90.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 07:00:00+00:00,12.2455,90.0,13.7455,3.25,0.0,3.25,0.0,3.25,41.77307
2024-10-30 08:00:00+00:00,12.5955,89.0,13.7455,46.0,3.0,43.0,20.977577,46.0,198.44302
2024-10-30 09:00:00+00:00,13.0455,87.0,13.7455,82.75,8.0,74.75,30.204569,82.75,367.53336
2024-10-30 10:00:00+00:00,13.5955,84.0,13.7455,127.5,16.25,111.25,45.661766,127.5,493.84366
2024-10-30 11:00:00+00:00,14.0955,82.0,13.7455,118.5,6.0,112.5,14.639542,118.5,568.75085
2024-10-30 12:00:00+00:00,14.5455,82.0,13.7455,182.5,37.75,144.75,89.22472,182.5,587.13715
2024-10-30 13:00:00+00:00,15.0955,77.0,13.7455,228.0,83.5,144.5,211.55928,227.99998,547.7363
2024-10-30 14:00:00+00:00,15.1455,77.0,13.7455,172.0,55.0,117.0,168.41478,172.0,453.22006
2024-10-30 15:00:00+00:00,14.8455,79.0,13.7455,86.5,21.0,65.5,94.00888,86.5,310.0177
2024-10-30 16:00:00+00:00,14.2455,83.0,13.7455,32.5,4.75,27.75,40.298435,32.499996,127.874374
2024-10-30 17:00:00+00:00,13.3455,89.0,13.7455,0.25,0.0,0.25,0.0,0.25,3.3217819
2024-10-30 18:00:00+00:00,12.8455,92.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 19:00:00+00:00,12.2455,96.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
