date,icon_seamless_temperature_2m,icon_seamless_relative_humidity_2m,icon_seamless_soil_temperature_54cm,icon_seamless_shortwave_radiation,icon_seamless_direct_radiation,icon_seamless_diffuse_radiation,icon_seamless_direct_normal_irradiance,icon_seamless_global_tilted_irradiance,icon_seamless_terrestrial_radiation,icon_global_temperature_2m,icon_global_relative_humidity_2m,icon_global_soil_temperature_54cm,icon_global_shortwave_radiation,icon_global_direct_radiation,icon_global_diffuse_radiation,icon_global_direct_normal_irradiance,icon_global_global_tilted_irradiance,icon_global_terrestrial_radiation,icon_eu_temperature_2m,icon_eu_relative_humidity_2m,icon_eu_soil_temperature_54cm,icon_eu_shortwave_radiation,icon_eu_direct_radiation,icon_eu_diffuse_radiation,icon_eu_direct_normal_irradiance,icon_eu_global_tilted_irradiance,icon_eu_terrestrial_radiation,icon_d2_temperature_2m,icon_d2_relative_humidity_2m,icon_d2_soil_temperature_54cm,icon_d2_shortwave_radiation,icon_d2_direct_radiation,icon_d2_diffuse_radiation,icon_d2_direct_normal_irradiance,icon_d2_global_tilted_irradiance,icon_d2_terrestrial_radiation
2024-11-30 23:00:00+00:00,-0.15450001,86.0,7.8954997,0.0,0.0,0.0,0.0,0.0,0.0,-0.29799998,79.0,7.652,0.0,0.0,0.0,0.0,0.0,0.0,0.6795,69.0,7.7295,0.0,0.0,0.0,0.0,0.0,0.0,-0.15450001,86.0,7.8954997,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 00:00:00+00:00,0.3955,81.0,7.8954997,0.0,0.0,0.0,0.0,0.0,0.0,-0.348,80.0,7.652,0.0,0.0,0.0,0.0,0.0,0.0,0.4795,70.0,7.7295,0.0,0.0,0.0,0.0,0.0,0.0,0.3955,81.0,7.8954997,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 01:00:00+00:00,0.045500003,81.0,7.8455,0.0,0.0,0.0,0.0,0.0,0.0,-0.598,80.0,7.652,0.0,0.0,0.0,0.0,0.0,0.0,0.22950001,71.0,7.7295,0.0,0.0,0.0,0.0,0.0,0.0,0.045500003,81.0,7.8455,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 02:00:00+00:00,-0.0545,81.0,7.8455,0.0,0.0,0.0,0.0,0.0,0.0,-0.79800004,80.0,7.602,0.0,0.0,0.0,0.0,0.0,0.0,0.029500008,72.0,7.6795,0.0,0.0,0.0,0.0,0.0,0.0,-0.0545,81.0,7.8455,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 03:00:00+00:00,-0.50450003,88.0,7.7955,0.0,0.0,0.0,0.0,0.0,0.0,-0.948,80.0,7.602,0.0,0.0,0.0,0.0,0.0,0.0,-0.2705,72.0,7.6795,0.0,0.0,0.0,0.0,0.0,0.0,-0.50450003,88.0,7.7955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 04:00:00+00:00,-0.55450004,87.0,7.7454996,0.0,0.0,0.0,0.0,0.0,0.0,-1.048,79.0,7.602,0.0,0.0,0.0,0.0,0.0,0.0,-0.22049999,70.0,7.6795,0.0,0.0,0.0,0.0,0.0,0.0,-0.55450004,87.0,7.7454996,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 05:00:00+00:00,-0.55450004,84.0,7.7454996,0.0,0.0,0.0,0.0,0.0,0.0,-1.048,79.0,7.552,0.0,0.0,0.0,0.0,0.0,0.0,-0.1205,67.0,7.6295,0.0,0.0,0.0,0.0,0.0,0.0,-0.55450004,84.0,7.7454996,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 06:00:00+00:00,-0.2545,83.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0,-0.948,77.0,7.552,0.0,0.0,0.0,0.0,0.0,0.0,0.1295,64.0,7.6295,0.0,0.0,0.0,0.0,0.0,0.0,-0.2545,83.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 07:00:00+00:00,-0.004499998,79.0,7.6454997,0.0,0.0,0.0,0.0,0.0,0.0,-0.648,75.0,7.502,0.0,0.0,0.0,0.0,0.0,0.0,0.4295,62.0,7.5795,0.0,0.0,0.0,0.0,0.0,0.0,-0.004499998,79.0,7.6454997,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 08:00:00+00:00,0.99549997,71.0,7.6454997,11.5,3.0,8.5,39.55336,11.5,46.73689,-0.098000005,72.0,7.502,13.0,4.0,9.0,52.490246,12.999997,47.262695,0.87950003,60.0,7.5795,13.0,4.0,9.0,52.66248,13.000002,46.89484,0.99549997,71.0,7.6454997,11.5,3.0,8.5,39.55336,11.5,46.73689
2024-12-01 09:00:00+00:00,3.3955,56.0,7.5955,89.5,47.5,42.0,353.89258,89.50002,188.83952,1.7520001,68.0,7.452,90.0,49.0,41.0,363.14136,89.999985,189.84148,2.4795,56.0,7.5795,91.0,50.0,41.0,371.76746,91.0,189.22102,3.3955,56.0,7.5955,89.5,47.5,42.0,353.89258,89.50002,188.83952
2024-12-01 10:00:00+00:00,3.0955,63.0,7.5955,179.25,119.0,60.25,530.5432,179.25,315.57507,4.502,63.0,7.452,178.0,120.0,58.0,533.4011,177.99997,316.5219,5.2295,52.0,7.5295,180.0,121.0,59.0,538.57965,180.00003,316.09085,3.0955,63.0,7.5955,179.25,119.0,60.25,530.5432,179.25,315.57507
2024-12-01 11:00:00+00:00,4.5455,66.0,7.5455,236.5,164.25,72.25,587.8322,236.49997,393.1282,6.702,59.0,7.402,232.0,159.0,73.0,567.83014,231.99998,393.96796,7.8795,43.0,7.5295,233.0,159.0,74.0,568.13684,232.99997,393.7553,4.5455,66.0,7.5455,236.5,164.25,72.25,587.8322,236.49997,393.1282
2024-12-01 12:00:00+00:00,6.7955,63.0,7.4954996,236.75,142.25,94.5,480.86697,236.75,416.21255,8.752,53.0,7.402,249.0,175.0,74.0,590.6018,249.00003,416.8993,9.0795,48.0,7.4795,239.0,150.0,89.0,506.20523,239.00003,416.9198,6.7955,63.0,7.4954996,236.75,142.25,94.5,480.86697,236.75,416.21255
2024-12-01 13:00:00+00:00,8.7955,58.0,7.4954996,212.75,127.75,85.0,468.99722,212.75,383.25183,9.952,47.0,7.402,221.0,149.0,72.0,546.29944,221.00002,383.7506,9.4295,58.0,7.4795,220.0,142.0,78.0,520.29236,220.0,384.0029,8.7955,58.0,7.4954996,212.75,127.75,85.0,468.99722,212.75,383.25183
2024-12-01 14:00:00+00:00,9.8455,52.0,7.4455,154.5,86.0,68.5,408.12534,154.5,296.48602,9.652,52.0,7.352,160.0,107.0,53.0,507.28928,160.0,296.77505,9.2295,61.0,7.4295,164.0,109.0,55.0,515.9599,164.0,297.2418,9.8455,52.0,7.4455,154.5,86.0,68.5,408.12534,154.5,296.48602
2024-12-01 15:00:00+00:00,9.195499,55.0,7.4455,68.75,31.25,37.5,255.84317,68.75,161.82076,8.652,54.0,7.352,68.0,32.0,36.0,261.84738,67.999985,161.89188,8.4795,60.0,7.4295,65.0,29.0,36.0,236.87529,65.0,162.5409,9.195499,55.0,7.4455,68.75,31.25,37.5,255.84317,68.75,161.82076
2024-12-01 16:00:00+00:00,9.0955,56.0,7.4455,5.25,0.5,4.75,7.6909523,5.25,30.847424,7.902,57.0,7.352,5.0,1.0,4.0,15.384591,4.999999,30.825909,7.6295,57.0,7.4295,5.0,1.0,4.0,15.324197,5.0,31.201283,9.0955,56.0,7.4455,5.25,0.5,4.75,7.6909523,5.25,30.847424
2024-12-01 17:00:00+00:00,9.3955,60.0,7.3954997,0.0,0.0,0.0,0.0,0.0,0.0,8.352,57.0,7.302,0.0,0.0,0.0,0.0,0.0,0.0,8.129499,54.0,7.3795,0.0,0.0,0.0,0.0,0.0,0.0,9.3955,60.0,7.3954997,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 18:00:00+00:00,9.2955,63.0,7.3954997,0.0,0.0,0.0,0.0,0.0,0.0,9.152,58.0,7.302,0.0,0.0,0.0,0.0,0.0,0.0,8.8295,58.0,7.3795,0.0,0.0,0.0,0.0,0.0,0.0,9.2955,63.0,7.3954997,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01 19:00:00+00:00,8.695499,66.0,7.3954997,0.0,0.0,0.0,0.0,0.0,0.0,8.802,62.0,7.302,0.0,0.0,0.0,0.0,0.0,0.0,8.3295,63.0,7.3795,0.0,0.0,0.0,0.0,0.0,0.0,8.695499,66.0,7.3954997,0.0,0.0,0.0,0.0,0.0,0.0
